"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","46","Get exercise","LMS service","Sat Mar 14 18:38:24 UTC 2026","passed","Sat Mar 14 18:38:24 UTC 2026","Get entity","Exercises","",""
"","12","Get your user's info","LMS service","Sat Mar 14 18:38:30 UTC 2026","passed","Sat Mar 14 18:38:30 UTC 2026","Get entity","Users","",""
"","23","Delete file","LMS service","Sat Mar 14 18:38:29 UTC 2026","passed","Sat Mar 14 18:38:29 UTC 2026","Delete entity","Files","",""
"","24","Create file","LMS service","Sat Mar 14 18:38:26 UTC 2026","passed","Sat Mar 14 18:38:26 UTC 2026","Create entity","Files","",""
"","30","Get all courses","LMS service","Sat Mar 14 18:38:21 UTC 2026","passed","Sat Mar 14 18:38:21 UTC 2026","Get entities","Courses","",""
"","19","Get all exercises","LMS service","Sat Mar 14 18:38:26 UTC 2026","passed","Sat Mar 14 18:38:26 UTC 2026","Get entities","Exercises","",""
"","539","Create user","tests.users","Sat Mar 14 18:38:29 UTC 2026","passed","Sat Mar 14 18:38:30 UTC 2026","TestCreateUser","test_create_user","",""
"","549","Login with email and password","LMS service","Sat Mar 14 18:38:20 UTC 2026","passed","Sat Mar 14 18:38:21 UTC 2026","Login","Users","",""
"","22","Update exercise","LMS service","Sat Mar 14 18:38:23 UTC 2026","passed","Sat Mar 14 18:38:23 UTC 2026","Update entity","Exercises","",""
"","30","Create exercise","LMS service","Sat Mar 14 18:38:23 UTC 2026","passed","Sat Mar 14 18:38:23 UTC 2026","Create entity","Exercises","",""
"","265","Create file with empty name","LMS service","Sat Mar 14 18:38:27 UTC 2026","passed","Sat Mar 14 18:38:27 UTC 2026","Validate entity","Files","",""
"","538","Create user","tests.users","Sat Mar 14 18:38:28 UTC 2026","passed","Sat Mar 14 18:38:29 UTC 2026","TestCreateUser","test_create_user","",""
"","20","Delete exercise","LMS service","Sat Mar 14 18:38:24 UTC 2026","passed","Sat Mar 14 18:38:24 UTC 2026","Delete entity","Exercises","",""
"","17","Get file with wrong id","LMS service","Sat Mar 14 18:38:28 UTC 2026","passed","Sat Mar 14 18:38:28 UTC 2026","Validate entity","Files","",""
"","17","Get file","LMS service","Sat Mar 14 18:38:27 UTC 2026","passed","Sat Mar 14 18:38:27 UTC 2026","Get entity","Files","",""
"","34","Update course","LMS service","Sat Mar 14 18:38:22 UTC 2026","passed","Sat Mar 14 18:38:22 UTC 2026","Update entity","Courses","",""
"","526","Create user","tests.users","Sat Mar 14 18:38:29 UTC 2026","passed","Sat Mar 14 18:38:29 UTC 2026","TestCreateUser","test_create_user","",""
"","33","Create course","LMS service","Sat Mar 14 18:38:22 UTC 2026","passed","Sat Mar 14 18:38:22 UTC 2026","Create entity","Courses","",""
"","264","Create file with empty directory","LMS service","Sat Mar 14 18:38:28 UTC 2026","passed","Sat Mar 14 18:38:28 UTC 2026","Validate entity","Files","",""
