"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Create file","LMS service","Sat Mar 14 17:22:15 UTC 2026","passed","Sat Mar 14 17:22:15 UTC 2026","Create entity","Files","",""
"","12","Get your user's info","LMS service","Sat Mar 14 17:22:19 UTC 2026","passed","Sat Mar 14 17:22:19 UTC 2026","Get entity","Users","",""
"","268","Create file with empty name","LMS service","Sat Mar 14 17:22:16 UTC 2026","passed","Sat Mar 14 17:22:16 UTC 2026","Validate entity","Files","",""
"","537","Create user","tests.users","Sat Mar 14 17:22:17 UTC 2026","passed","Sat Mar 14 17:22:18 UTC 2026","TestCreateUser","test_create_user","",""
"","31","Create course","LMS service","Sat Mar 14 17:22:11 UTC 2026","passed","Sat Mar 14 17:22:12 UTC 2026","Create entity","Courses","",""
"","51","Get exercise","LMS service","Sat Mar 14 17:22:14 UTC 2026","passed","Sat Mar 14 17:22:14 UTC 2026","Get entity","Exercises","",""
"","19","Get file with wrong id","LMS service","Sat Mar 14 17:22:17 UTC 2026","passed","Sat Mar 14 17:22:17 UTC 2026","Validate entity","Files","",""
"","26","Create exercise","LMS service","Sat Mar 14 17:22:13 UTC 2026","passed","Sat Mar 14 17:22:13 UTC 2026","Create entity","Exercises","",""
"","549","Create user","tests.users","Sat Mar 14 17:22:19 UTC 2026","passed","Sat Mar 14 17:22:19 UTC 2026","TestCreateUser","test_create_user","",""
"","22","Update exercise","LMS service","Sat Mar 14 17:22:13 UTC 2026","passed","Sat Mar 14 17:22:13 UTC 2026","Update entity","Exercises","",""
"","18","Delete exercise","LMS service","Sat Mar 14 17:22:14 UTC 2026","passed","Sat Mar 14 17:22:14 UTC 2026","Delete entity","Exercises","",""
"","33","Get all courses","LMS service","Sat Mar 14 17:22:10 UTC 2026","passed","Sat Mar 14 17:22:10 UTC 2026","Get entities","Courses","",""
"","17","Get file","LMS service","Sat Mar 14 17:22:16 UTC 2026","passed","Sat Mar 14 17:22:16 UTC 2026","Get entity","Files","",""
"","266","Create file with empty directory","LMS service","Sat Mar 14 17:22:17 UTC 2026","passed","Sat Mar 14 17:22:17 UTC 2026","Validate entity","Files","",""
"","18","Get all exercises","LMS service","Sat Mar 14 17:22:15 UTC 2026","passed","Sat Mar 14 17:22:15 UTC 2026","Get entities","Exercises","",""
"","548","Login with email and password","LMS service","Sat Mar 14 17:22:10 UTC 2026","passed","Sat Mar 14 17:22:10 UTC 2026","Login","Users","",""
"","532","Create user","tests.users","Sat Mar 14 17:22:18 UTC 2026","passed","Sat Mar 14 17:22:19 UTC 2026","TestCreateUser","test_create_user","",""
"","25","Delete file","LMS service","Sat Mar 14 17:22:19 UTC 2026","passed","Sat Mar 14 17:22:19 UTC 2026","Delete entity","Files","",""
"","40","Update course","LMS service","Sat Mar 14 17:22:11 UTC 2026","passed","Sat Mar 14 17:22:11 UTC 2026","Update entity","Courses","",""
