"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","Create exercise","LMS service","Wed Mar 11 14:26:34 UTC 2026","passed","Wed Mar 11 14:26:34 UTC 2026","Create entity","Exercises","",""
"","525","Create user","tests.users","Wed Mar 11 14:26:40 UTC 2026","passed","Wed Mar 11 14:26:40 UTC 2026","TestCreateUser","test_create_user","",""
"","21","Update exercise","LMS service","Wed Mar 11 14:26:34 UTC 2026","passed","Wed Mar 11 14:26:34 UTC 2026","Update entity","Exercises","",""
"","24","Get all exercises","LMS service","Wed Mar 11 14:26:37 UTC 2026","passed","Wed Mar 11 14:26:37 UTC 2026","Get entities","Exercises","",""
"","17","Get file","LMS service","Wed Mar 11 14:26:38 UTC 2026","passed","Wed Mar 11 14:26:38 UTC 2026","Get entity","Files","",""
"","17","Get file with wrong id","LMS service","Wed Mar 11 14:26:39 UTC 2026","passed","Wed Mar 11 14:26:39 UTC 2026","Validate entity","Files","",""
"","21","Delete exercise","LMS service","Wed Mar 11 14:26:36 UTC 2026","passed","Wed Mar 11 14:26:36 UTC 2026","Delete entity","Exercises","",""
"","22","Delete file","LMS service","Wed Mar 11 14:26:40 UTC 2026","passed","Wed Mar 11 14:26:40 UTC 2026","Delete entity","Files","",""
"","47","Get exercise","LMS service","Wed Mar 11 14:26:36 UTC 2026","passed","Wed Mar 11 14:26:36 UTC 2026","Get entity","Exercises","",""
"","11","Get your user's info","LMS service","Wed Mar 11 14:26:41 UTC 2026","passed","Wed Mar 11 14:26:41 UTC 2026","Get entity","Users","",""
"","531","Create user","tests.users","Wed Mar 11 14:26:39 UTC 2026","passed","Wed Mar 11 14:26:40 UTC 2026","TestCreateUser","test_create_user","",""
"","265","Create file with empty directory","LMS service","Wed Mar 11 14:26:39 UTC 2026","passed","Wed Mar 11 14:26:39 UTC 2026","Validate entity","Files","",""
"","263","Create file with empty name","LMS service","Wed Mar 11 14:26:38 UTC 2026","passed","Wed Mar 11 14:26:38 UTC 2026","Validate entity","Files","",""
"","35","Get all courses","LMS service","Wed Mar 11 14:26:32 UTC 2026","passed","Wed Mar 11 14:26:32 UTC 2026","Get entities","Courses","",""
"","536","Create user","tests.users","Wed Mar 11 14:26:40 UTC 2026","passed","Wed Mar 11 14:26:41 UTC 2026","TestCreateUser","test_create_user","",""
"","46","Create course","LMS service","Wed Mar 11 14:26:33 UTC 2026","passed","Wed Mar 11 14:26:33 UTC 2026","Create entity","Courses","",""
"","544","Login with email and password","LMS service","Wed Mar 11 14:26:31 UTC 2026","passed","Wed Mar 11 14:26:32 UTC 2026","Login","Users","",""
"","39","Update course","LMS service","Wed Mar 11 14:26:33 UTC 2026","passed","Wed Mar 11 14:26:33 UTC 2026","Update entity","Courses","",""
"","24","Create file","LMS service","Wed Mar 11 14:26:37 UTC 2026","passed","Wed Mar 11 14:26:37 UTC 2026","Create entity","Files","",""
