"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","547","Login with email and password","LMS service","Sat Mar 14 18:54:29 UTC 2026","passed","Sat Mar 14 18:54:30 UTC 2026","Login","Users","",""
"","15","Get your user's info","LMS service","Sat Mar 14 18:54:39 UTC 2026","passed","Sat Mar 14 18:54:39 UTC 2026","Get entity","Users","",""
"","43","Update course","LMS service","Sat Mar 14 18:54:31 UTC 2026","passed","Sat Mar 14 18:54:31 UTC 2026","Update entity","Courses","",""
"","545","Create user","tests.users","Sat Mar 14 18:54:38 UTC 2026","passed","Sat Mar 14 18:54:39 UTC 2026","TestCreateUser","test_create_user","",""
"","16","Get file","LMS service","Sat Mar 14 18:54:36 UTC 2026","passed","Sat Mar 14 18:54:36 UTC 2026","Get entity","Files","",""
"","531","Create user","tests.users","Sat Mar 14 18:54:37 UTC 2026","passed","Sat Mar 14 18:54:38 UTC 2026","TestCreateUser","test_create_user","",""
"","265","Create file with empty directory","LMS service","Sat Mar 14 18:54:37 UTC 2026","passed","Sat Mar 14 18:54:37 UTC 2026","Validate entity","Files","",""
"","48","Get exercise","LMS service","Sat Mar 14 18:54:33 UTC 2026","passed","Sat Mar 14 18:54:33 UTC 2026","Get entity","Exercises","",""
"","32","Create course","LMS service","Sat Mar 14 18:54:31 UTC 2026","passed","Sat Mar 14 18:54:31 UTC 2026","Create entity","Courses","",""
"","22","Update exercise","LMS service","Sat Mar 14 18:54:32 UTC 2026","passed","Sat Mar 14 18:54:32 UTC 2026","Update entity","Exercises","",""
"","540","Create user","tests.users","Sat Mar 14 18:54:37 UTC 2026","passed","Sat Mar 14 18:54:37 UTC 2026","TestCreateUser","test_create_user","",""
"","19","Delete exercise","LMS service","Sat Mar 14 18:54:33 UTC 2026","passed","Sat Mar 14 18:54:33 UTC 2026","Delete entity","Exercises","",""
"","19","Get file with wrong id","LMS service","Sat Mar 14 18:54:37 UTC 2026","passed","Sat Mar 14 18:54:37 UTC 2026","Validate entity","Files","",""
"","18","Get all exercises","LMS service","Sat Mar 14 18:54:34 UTC 2026","passed","Sat Mar 14 18:54:35 UTC 2026","Get entities","Exercises","",""
"","30","Get all courses","LMS service","Sat Mar 14 18:54:30 UTC 2026","passed","Sat Mar 14 18:54:30 UTC 2026","Get entities","Courses","",""
"","25","Create file","LMS service","Sat Mar 14 18:54:34 UTC 2026","passed","Sat Mar 14 18:54:35 UTC 2026","Create entity","Files","",""
"","259","Create file with empty name","LMS service","Sat Mar 14 18:54:35 UTC 2026","passed","Sat Mar 14 18:54:36 UTC 2026","Validate entity","Files","",""
"","29","Create exercise","LMS service","Sat Mar 14 18:54:32 UTC 2026","passed","Sat Mar 14 18:54:32 UTC 2026","Create entity","Exercises","",""
"","25","Delete file","LMS service","Sat Mar 14 18:54:38 UTC 2026","passed","Sat Mar 14 18:54:38 UTC 2026","Delete entity","Files","",""
