"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","264","Create file with empty directory","LMS service","Sat Mar 14 16:35:02 UTC 2026","passed","Sat Mar 14 16:35:03 UTC 2026","Validate entity","Files","",""
"","17","Get all exercises","LMS service","Sat Mar 14 16:35:00 UTC 2026","passed","Sat Mar 14 16:35:00 UTC 2026","Get entities","Exercises","",""
"","12","Get your user's info","LMS service","Sat Mar 14 16:35:05 UTC 2026","passed","Sat Mar 14 16:35:05 UTC 2026","Get entity","Users","",""
"","33","Get all courses","LMS service","Sat Mar 14 16:34:56 UTC 2026","passed","Sat Mar 14 16:34:56 UTC 2026","Get entities","Courses","",""
"","19","Get file with wrong id","LMS service","Sat Mar 14 16:35:03 UTC 2026","passed","Sat Mar 14 16:35:03 UTC 2026","Validate entity","Files","",""
"","27","Create course","LMS service","Sat Mar 14 16:34:57 UTC 2026","passed","Sat Mar 14 16:34:57 UTC 2026","Create entity","Courses","",""
"","26","Create exercise","LMS service","Sat Mar 14 16:34:58 UTC 2026","passed","Sat Mar 14 16:34:58 UTC 2026","Create entity","Exercises","",""
"","34","Update course","LMS service","Sat Mar 14 16:34:57 UTC 2026","passed","Sat Mar 14 16:34:57 UTC 2026","Update entity","Courses","",""
"","25","Delete file","LMS service","Sat Mar 14 16:35:04 UTC 2026","passed","Sat Mar 14 16:35:04 UTC 2026","Delete entity","Files","",""
"","546","Create user","tests.users","Sat Mar 14 16:35:04 UTC 2026","passed","Sat Mar 14 16:35:04 UTC 2026","TestCreateUser","test_create_user","",""
"","15","Get file","LMS service","Sat Mar 14 16:35:01 UTC 2026","passed","Sat Mar 14 16:35:02 UTC 2026","Get entity","Files","",""
"","526","Create user","tests.users","Sat Mar 14 16:35:03 UTC 2026","passed","Sat Mar 14 16:35:04 UTC 2026","TestCreateUser","test_create_user","",""
"","45","Get exercise","LMS service","Sat Mar 14 16:34:59 UTC 2026","passed","Sat Mar 14 16:34:59 UTC 2026","Get entity","Exercises","",""
"","22","Update exercise","LMS service","Sat Mar 14 16:34:58 UTC 2026","passed","Sat Mar 14 16:34:58 UTC 2026","Update entity","Exercises","",""
"","261","Create file with empty name","LMS service","Sat Mar 14 16:35:01 UTC 2026","passed","Sat Mar 14 16:35:01 UTC 2026","Validate entity","Files","",""
"","533","Create user","tests.users","Sat Mar 14 16:35:03 UTC 2026","passed","Sat Mar 14 16:35:03 UTC 2026","TestCreateUser","test_create_user","",""
"","23","Create file","LMS service","Sat Mar 14 16:35:00 UTC 2026","passed","Sat Mar 14 16:35:00 UTC 2026","Create entity","Files","",""
"","547","Login with email and password","LMS service","Sat Mar 14 16:34:55 UTC 2026","passed","Sat Mar 14 16:34:56 UTC 2026","Login","Users","",""
"","19","Delete exercise","LMS service","Sat Mar 14 16:34:59 UTC 2026","passed","Sat Mar 14 16:34:59 UTC 2026","Delete entity","Exercises","",""
