"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Get your user's info","LMS service","Wed Mar 11 14:31:02 UTC 2026","passed","Wed Mar 11 14:31:02 UTC 2026","Get entity","Users","",""
"","18","Get all exercises","LMS service","Wed Mar 11 14:30:57 UTC 2026","passed","Wed Mar 11 14:30:57 UTC 2026","Get entities","Exercises","",""
"","24","Create file with empty name","LMS service","Wed Mar 11 14:30:58 UTC 2026","passed","Wed Mar 11 14:30:58 UTC 2026","Validate entity","Files","",""
"","16","Get file","LMS service","Wed Mar 11 14:30:58 UTC 2026","passed","Wed Mar 11 14:30:58 UTC 2026","Get entity","Files","",""
"","24","Get file with wrong id","LMS service","Wed Mar 11 14:31:00 UTC 2026","passed","Wed Mar 11 14:31:00 UTC 2026","Validate entity","Files","",""
"","27","Delete file","LMS service","Wed Mar 11 14:31:01 UTC 2026","passed","Wed Mar 11 14:31:01 UTC 2026","Delete entity","Files","",""
"","546","Login with email and password","LMS service","Wed Mar 11 14:30:52 UTC 2026","passed","Wed Mar 11 14:30:52 UTC 2026","Login","Users","",""
"","534","Create user","tests.users","Wed Mar 11 14:31:00 UTC 2026","passed","Wed Mar 11 14:31:00 UTC 2026","TestCreateUser","test_create_user","",""
"","22","Update exercise","LMS service","Wed Mar 11 14:30:55 UTC 2026","passed","Wed Mar 11 14:30:55 UTC 2026","Update entity","Exercises","",""
"","31","Create exercise","LMS service","Wed Mar 11 14:30:55 UTC 2026","passed","Wed Mar 11 14:30:55 UTC 2026","Create entity","Exercises","",""
"","24","Create file","LMS service","Wed Mar 11 14:30:57 UTC 2026","passed","Wed Mar 11 14:30:57 UTC 2026","Create entity","Files","",""
"","529","Create user","tests.users","Wed Mar 11 14:31:00 UTC 2026","passed","Wed Mar 11 14:31:01 UTC 2026","TestCreateUser","test_create_user","",""
"","35","Update course","LMS service","Wed Mar 11 14:30:54 UTC 2026","passed","Wed Mar 11 14:30:54 UTC 2026","Update entity","Courses","",""
"","548","Create user","tests.users","Wed Mar 11 14:31:01 UTC 2026","passed","Wed Mar 11 14:31:01 UTC 2026","TestCreateUser","test_create_user","",""
"","34","Get all courses","LMS service","Wed Mar 11 14:30:52 UTC 2026","passed","Wed Mar 11 14:30:52 UTC 2026","Get entities","Courses","",""
"","29","Create course","LMS service","Wed Mar 11 14:30:54 UTC 2026","passed","Wed Mar 11 14:30:54 UTC 2026","Create entity","Courses","",""
"","267","Create file with empty directory","LMS service","Wed Mar 11 14:30:59 UTC 2026","passed","Wed Mar 11 14:31:00 UTC 2026","Validate entity","Files","",""
"","20","Delete exercise","LMS service","Wed Mar 11 14:30:56 UTC 2026","passed","Wed Mar 11 14:30:56 UTC 2026","Delete entity","Exercises","",""
"","53","Get exercise","LMS service","Wed Mar 11 14:30:56 UTC 2026","passed","Wed Mar 11 14:30:56 UTC 2026","Get entity","Exercises","",""
