"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","248","Create file with empty name","LMS service","Mon Mar 09 17:36:05 UTC 2026","passed","Mon Mar 09 17:36:05 UTC 2026","Validate entity","Files","",""
"","518","Create user","tests.users","Mon Mar 09 17:36:08 UTC 2026","passed","Mon Mar 09 17:36:08 UTC 2026","TestCreateUser","test_create_user","",""
"","20","Get all exercises","LMS service","Mon Mar 09 17:36:04 UTC 2026","passed","Mon Mar 09 17:36:04 UTC 2026","Get entities","Exercises","",""
"","34","Update course","LMS service","Mon Mar 09 17:36:01 UTC 2026","passed","Mon Mar 09 17:36:01 UTC 2026","Update entity","Courses","",""
"","20","Update exercise","LMS service","Mon Mar 09 17:36:02 UTC 2026","passed","Mon Mar 09 17:36:02 UTC 2026","Update entity","Exercises","",""
"","33","Create course","LMS service","Mon Mar 09 17:36:01 UTC 2026","passed","Mon Mar 09 17:36:01 UTC 2026","Create entity","Courses","",""
"","20","Create file","LMS service","Mon Mar 09 17:36:04 UTC 2026","passed","Mon Mar 09 17:36:04 UTC 2026","Create entity","Files","",""
"","32","Get all courses","LMS service","Mon Mar 09 17:36:00 UTC 2026","passed","Mon Mar 09 17:36:00 UTC 2026","Get entities","Courses","",""
"","248","Create file with empty directory","LMS service","Mon Mar 09 17:36:06 UTC 2026","passed","Mon Mar 09 17:36:06 UTC 2026","Validate entity","Files","",""
"","15","Get file","LMS service","Mon Mar 09 17:36:05 UTC 2026","passed","Mon Mar 09 17:36:05 UTC 2026","Get entity","Files","",""
"","52","Get exercise","LMS service","Mon Mar 09 17:36:03 UTC 2026","passed","Mon Mar 09 17:36:03 UTC 2026","Get entity","Exercises","",""
"","495","Create user","tests.users","Mon Mar 09 17:36:07 UTC 2026","passed","Mon Mar 09 17:36:08 UTC 2026","TestCreateUser","test_create_user","",""
"","18","Delete exercise","LMS service","Mon Mar 09 17:36:03 UTC 2026","passed","Mon Mar 09 17:36:03 UTC 2026","Delete entity","Exercises","",""
"","16","Get file with wrong id","LMS service","Mon Mar 09 17:36:06 UTC 2026","passed","Mon Mar 09 17:36:06 UTC 2026","Validate entity","Files","",""
"","518","Login with email and password","LMS service","Mon Mar 09 17:35:59 UTC 2026","passed","Mon Mar 09 17:36:00 UTC 2026","Login","Users","",""
"","20","Delete file","LMS service","Mon Mar 09 17:36:08 UTC 2026","passed","Mon Mar 09 17:36:08 UTC 2026","Delete entity","Files","",""
"","15","Get your user's info","LMS service","Mon Mar 09 17:36:08 UTC 2026","passed","Mon Mar 09 17:36:08 UTC 2026","Get entity","Users","",""
"","23","Create exercise","LMS service","Mon Mar 09 17:36:02 UTC 2026","passed","Mon Mar 09 17:36:02 UTC 2026","Create entity","Exercises","",""
"","515","Create user","tests.users","Mon Mar 09 17:36:06 UTC 2026","passed","Mon Mar 09 17:36:07 UTC 2026","TestCreateUser","test_create_user","",""
