"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","47","Get exercise","LMS service","Mon Mar 09 09:53:26 UTC 2026","passed","Mon Mar 09 09:53:26 UTC 2026","Get entity","Exercises","",""
"","29","Create course","LMS service","Mon Mar 09 09:53:24 UTC 2026","passed","Mon Mar 09 09:53:24 UTC 2026","Create entity","Courses","",""
"","615","Login with email and password","LMS service","Mon Mar 09 09:53:22 UTC 2026","passed","Mon Mar 09 09:53:22 UTC 2026","Login","Users","",""
"","23","Get file","LMS service","Mon Mar 09 09:53:29 UTC 2026","passed","Mon Mar 09 09:53:29 UTC 2026","Get entity","Files","",""
"","30","Get all courses","LMS service","Mon Mar 09 09:53:22 UTC 2026","passed","Mon Mar 09 09:53:22 UTC 2026","Get entities","Courses","",""
"","18","Delete exercise","LMS service","Mon Mar 09 09:53:26 UTC 2026","passed","Mon Mar 09 09:53:26 UTC 2026","Delete entity","Exercises","",""
"","17","Get all exercises","LMS service","Mon Mar 09 09:53:28 UTC 2026","passed","Mon Mar 09 09:53:28 UTC 2026","Get entities","Exercises","",""
"","591","Create user","tests.users","Mon Mar 09 09:53:31 UTC 2026","passed","Mon Mar 09 09:53:32 UTC 2026","TestCreateUser","test_create_user","",""
"","19","Update exercise","LMS service","Mon Mar 09 09:53:25 UTC 2026","passed","Mon Mar 09 09:53:25 UTC 2026","Update entity","Exercises","",""
"","23","Delete file","LMS service","Mon Mar 09 09:53:32 UTC 2026","passed","Mon Mar 09 09:53:32 UTC 2026","Delete entity","Files","",""
"","37","Update course","LMS service","Mon Mar 09 09:53:24 UTC 2026","passed","Mon Mar 09 09:53:24 UTC 2026","Update entity","Courses","",""
"","616","Create user","tests.users","Mon Mar 09 09:53:32 UTC 2026","passed","Mon Mar 09 09:53:32 UTC 2026","TestCreateUser","test_create_user","",""
"","14","Get file with wrong id","LMS service","Mon Mar 09 09:53:30 UTC 2026","passed","Mon Mar 09 09:53:30 UTC 2026","Validate entity","Files","",""
"","14","Get your user's info","LMS service","Mon Mar 09 09:53:32 UTC 2026","passed","Mon Mar 09 09:53:33 UTC 2026","Get entity","Users","",""
"","299","Create file with empty directory","LMS service","Mon Mar 09 09:53:30 UTC 2026","passed","Mon Mar 09 09:53:30 UTC 2026","Validate entity","Files","",""
"","23","Create exercise","LMS service","Mon Mar 09 09:53:25 UTC 2026","passed","Mon Mar 09 09:53:25 UTC 2026","Create entity","Exercises","",""
"","618","Create user","tests.users","Mon Mar 09 09:53:30 UTC 2026","passed","Mon Mar 09 09:53:31 UTC 2026","TestCreateUser","test_create_user","",""
"","23","Create file","LMS service","Mon Mar 09 09:53:28 UTC 2026","passed","Mon Mar 09 09:53:28 UTC 2026","Create entity","Files","",""
"","302","Create file with empty name","LMS service","Mon Mar 09 09:53:29 UTC 2026","passed","Mon Mar 09 09:53:29 UTC 2026","Validate entity","Files","",""
