"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Update exercise","LMS service","Sat Mar 14 17:19:35 UTC 2026","passed","Sat Mar 14 17:19:35 UTC 2026","Update entity","Exercises","",""
"","18","Get all exercises","LMS service","Sat Mar 14 17:19:37 UTC 2026","passed","Sat Mar 14 17:19:37 UTC 2026","Get entities","Exercises","",""
"","31","Create course","LMS service","Sat Mar 14 17:19:34 UTC 2026","passed","Sat Mar 14 17:19:34 UTC 2026","Create entity","Courses","",""
"","268","Create file with empty name","LMS service","Sat Mar 14 17:19:38 UTC 2026","passed","Sat Mar 14 17:19:38 UTC 2026","Validate entity","Files","",""
"","37","Update course","LMS service","Sat Mar 14 17:19:34 UTC 2026","passed","Sat Mar 14 17:19:34 UTC 2026","Update entity","Courses","",""
"","21","Create file","LMS service","Sat Mar 14 17:19:37 UTC 2026","passed","Sat Mar 14 17:19:37 UTC 2026","Create entity","Files","",""
"","547","Login with email and password","LMS service","Sat Mar 14 17:19:32 UTC 2026","passed","Sat Mar 14 17:19:32 UTC 2026","Login","Users","",""
"","48","Get exercise","LMS service","Sat Mar 14 17:19:36 UTC 2026","passed","Sat Mar 14 17:19:36 UTC 2026","Get entity","Exercises","",""
"","17","Get file","LMS service","Sat Mar 14 17:19:38 UTC 2026","passed","Sat Mar 14 17:19:38 UTC 2026","Get entity","Files","",""
"","267","Create file with empty directory","LMS service","Sat Mar 14 17:19:39 UTC 2026","passed","Sat Mar 14 17:19:40 UTC 2026","Validate entity","Files","",""
"","22","Get file with wrong id","LMS service","Sat Mar 14 17:19:40 UTC 2026","passed","Sat Mar 14 17:19:40 UTC 2026","Validate entity","Files","",""
"","33","Get all courses","LMS service","Sat Mar 14 17:19:33 UTC 2026","passed","Sat Mar 14 17:19:33 UTC 2026","Get entities","Courses","",""
"","13","Get your user's info","LMS service","Sat Mar 14 17:19:42 UTC 2026","passed","Sat Mar 14 17:19:42 UTC 2026","Get entity","Users","",""
"","546","Create user","tests.users","Sat Mar 14 17:19:41 UTC 2026","passed","Sat Mar 14 17:19:41 UTC 2026","TestCreateUser","test_create_user","",""
"","535","Create user","tests.users","Sat Mar 14 17:19:40 UTC 2026","passed","Sat Mar 14 17:19:40 UTC 2026","TestCreateUser","test_create_user","",""
"","26","Create exercise","LMS service","Sat Mar 14 17:19:35 UTC 2026","passed","Sat Mar 14 17:19:35 UTC 2026","Create entity","Exercises","",""
"","18","Delete exercise","LMS service","Sat Mar 14 17:19:36 UTC 2026","passed","Sat Mar 14 17:19:36 UTC 2026","Delete entity","Exercises","",""
"","527","Create user","tests.users","Sat Mar 14 17:19:40 UTC 2026","passed","Sat Mar 14 17:19:41 UTC 2026","TestCreateUser","test_create_user","",""
"","23","Delete file","LMS service","Sat Mar 14 17:19:41 UTC 2026","passed","Sat Mar 14 17:19:41 UTC 2026","Delete entity","Files","",""
