"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42","Update course","LMS service","Mon Mar 09 11:09:28 UTC 2026","passed","Mon Mar 09 11:09:28 UTC 2026","Update entity","Courses","",""
"","20","Delete exercise","LMS service","Mon Mar 09 11:09:31 UTC 2026","passed","Mon Mar 09 11:09:31 UTC 2026","Delete entity","Exercises","",""
"","32","Create course","LMS service","Mon Mar 09 11:09:28 UTC 2026","passed","Mon Mar 09 11:09:28 UTC 2026","Create entity","Courses","",""
"","23","Delete file","LMS service","Mon Mar 09 11:09:35 UTC 2026","passed","Mon Mar 09 11:09:35 UTC 2026","Delete entity","Files","",""
"","546","Login with email and password","LMS service","Mon Mar 09 11:09:27 UTC 2026","passed","Mon Mar 09 11:09:27 UTC 2026","Login","Users","",""
"","16","Get your user's info","LMS service","Mon Mar 09 11:09:36 UTC 2026","passed","Mon Mar 09 11:09:36 UTC 2026","Get entity","Users","",""
"","27","Create file","LMS service","Mon Mar 09 11:09:32 UTC 2026","passed","Mon Mar 09 11:09:32 UTC 2026","Create entity","Files","",""
"","525","Create user","tests.users","Mon Mar 09 11:09:35 UTC 2026","passed","Mon Mar 09 11:09:35 UTC 2026","TestCreateUser","test_create_user","",""
"","14","Get file with wrong id","LMS service","Mon Mar 09 11:09:34 UTC 2026","passed","Mon Mar 09 11:09:34 UTC 2026","Validate entity","Files","",""
"","16","Get file","LMS service","Mon Mar 09 11:09:33 UTC 2026","passed","Mon Mar 09 11:09:33 UTC 2026","Get entity","Files","",""
"","22","Get all exercises","LMS service","Mon Mar 09 11:09:32 UTC 2026","passed","Mon Mar 09 11:09:32 UTC 2026","Get entities","Exercises","",""
"","32","Get all courses","LMS service","Mon Mar 09 11:09:27 UTC 2026","passed","Mon Mar 09 11:09:27 UTC 2026","Get entities","Courses","",""
"","542","Create user","tests.users","Mon Mar 09 11:09:34 UTC 2026","passed","Mon Mar 09 11:09:35 UTC 2026","TestCreateUser","test_create_user","",""
"","544","Create user","tests.users","Mon Mar 09 11:09:35 UTC 2026","passed","Mon Mar 09 11:09:36 UTC 2026","TestCreateUser","test_create_user","",""
"","267","Create file with empty directory","LMS service","Mon Mar 09 11:09:34 UTC 2026","passed","Mon Mar 09 11:09:34 UTC 2026","Validate entity","Files","",""
"","258","Create file with empty name","LMS service","Mon Mar 09 11:09:33 UTC 2026","passed","Mon Mar 09 11:09:33 UTC 2026","Validate entity","Files","",""
"","53","Get exercise","LMS service","Mon Mar 09 11:09:31 UTC 2026","passed","Mon Mar 09 11:09:31 UTC 2026","Get entity","Exercises","",""
"","30","Create exercise","LMS service","Mon Mar 09 11:09:29 UTC 2026","passed","Mon Mar 09 11:09:29 UTC 2026","Create entity","Exercises","",""
"","23","Update exercise","LMS service","Mon Mar 09 11:09:30 UTC 2026","passed","Mon Mar 09 11:09:30 UTC 2026","Update entity","Exercises","",""
