"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","Create file","LMS service","Sat Mar 14 16:42:58 UTC 2026","passed","Sat Mar 14 16:42:58 UTC 2026","Create entity","Files","",""
"","547","Login with email and password","LMS service","Sat Mar 14 16:42:52 UTC 2026","passed","Sat Mar 14 16:42:53 UTC 2026","Login","Users","",""
"","32","Get all courses","LMS service","Sat Mar 14 16:42:53 UTC 2026","passed","Sat Mar 14 16:42:53 UTC 2026","Get entities","Courses","",""
"","540","Create user","tests.users","Sat Mar 14 16:43:00 UTC 2026","passed","Sat Mar 14 16:43:00 UTC 2026","TestCreateUser","test_create_user","",""
"","16","Get file","LMS service","Sat Mar 14 16:42:59 UTC 2026","passed","Sat Mar 14 16:42:59 UTC 2026","Get entity","Files","",""
"","13","Get your user's info","LMS service","Sat Mar 14 16:43:02 UTC 2026","passed","Sat Mar 14 16:43:02 UTC 2026","Get entity","Users","",""
"","21","Delete exercise","LMS service","Sat Mar 14 16:42:56 UTC 2026","passed","Sat Mar 14 16:42:56 UTC 2026","Delete entity","Exercises","",""
"","525","Create user","tests.users","Sat Mar 14 16:43:00 UTC 2026","passed","Sat Mar 14 16:43:01 UTC 2026","TestCreateUser","test_create_user","",""
"","24","Delete file","LMS service","Sat Mar 14 16:43:01 UTC 2026","passed","Sat Mar 14 16:43:01 UTC 2026","Delete entity","Files","",""
"","19","Get file with wrong id","LMS service","Sat Mar 14 16:43:00 UTC 2026","passed","Sat Mar 14 16:43:00 UTC 2026","Validate entity","Files","",""
"","35","Create course","LMS service","Sat Mar 14 16:42:54 UTC 2026","passed","Sat Mar 14 16:42:54 UTC 2026","Create entity","Courses","",""
"","49","Get exercise","LMS service","Sat Mar 14 16:42:56 UTC 2026","passed","Sat Mar 14 16:42:56 UTC 2026","Get entity","Exercises","",""
"","545","Create user","tests.users","Sat Mar 14 16:43:01 UTC 2026","passed","Sat Mar 14 16:43:02 UTC 2026","TestCreateUser","test_create_user","",""
"","266","Create file with empty name","LMS service","Sat Mar 14 16:42:58 UTC 2026","passed","Sat Mar 14 16:42:59 UTC 2026","Validate entity","Files","",""
"","24","Update exercise","LMS service","Sat Mar 14 16:42:55 UTC 2026","passed","Sat Mar 14 16:42:55 UTC 2026","Update entity","Exercises","",""
"","27","Create exercise","LMS service","Sat Mar 14 16:42:55 UTC 2026","passed","Sat Mar 14 16:42:55 UTC 2026","Create entity","Exercises","",""
"","38","Update course","LMS service","Sat Mar 14 16:42:54 UTC 2026","passed","Sat Mar 14 16:42:54 UTC 2026","Update entity","Courses","",""
"","21","Get all exercises","LMS service","Sat Mar 14 16:42:58 UTC 2026","passed","Sat Mar 14 16:42:58 UTC 2026","Get entities","Exercises","",""
"","262","Create file with empty directory","LMS service","Sat Mar 14 16:43:00 UTC 2026","passed","Sat Mar 14 16:43:00 UTC 2026","Validate entity","Files","",""
