"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","518","Login with email and password","LMS service","Sat Mar 14 17:28:45 UTC 2026","passed","Sat Mar 14 17:28:45 UTC 2026","Login","Users","",""
"","28","Create file","LMS service","Sat Mar 14 17:28:50 UTC 2026","passed","Sat Mar 14 17:28:50 UTC 2026","Create entity","Files","",""
"","30","Get all courses","LMS service","Sat Mar 14 17:28:45 UTC 2026","passed","Sat Mar 14 17:28:45 UTC 2026","Get entities","Courses","",""
"","245","Create file with empty directory","LMS service","Sat Mar 14 17:28:52 UTC 2026","passed","Sat Mar 14 17:28:52 UTC 2026","Validate entity","Files","",""
"","33","Create course","LMS service","Sat Mar 14 17:28:46 UTC 2026","passed","Sat Mar 14 17:28:46 UTC 2026","Create entity","Courses","",""
"","17","Get file","LMS service","Sat Mar 14 17:28:51 UTC 2026","passed","Sat Mar 14 17:28:51 UTC 2026","Get entity","Files","",""
"","22","Get file with wrong id","LMS service","Sat Mar 14 17:28:52 UTC 2026","passed","Sat Mar 14 17:28:52 UTC 2026","Validate entity","Files","",""
"","251","Create file with empty name","LMS service","Sat Mar 14 17:28:51 UTC 2026","passed","Sat Mar 14 17:28:51 UTC 2026","Validate entity","Files","",""
"","19","Get all exercises","LMS service","Sat Mar 14 17:28:50 UTC 2026","passed","Sat Mar 14 17:28:50 UTC 2026","Get entities","Exercises","",""
"","23","Create exercise","LMS service","Sat Mar 14 17:28:48 UTC 2026","passed","Sat Mar 14 17:28:48 UTC 2026","Create entity","Exercises","",""
"","18","Update exercise","LMS service","Sat Mar 14 17:28:48 UTC 2026","passed","Sat Mar 14 17:28:48 UTC 2026","Update entity","Exercises","",""
"","44","Get exercise","LMS service","Sat Mar 14 17:28:49 UTC 2026","passed","Sat Mar 14 17:28:49 UTC 2026","Get entity","Exercises","",""
"","498","Create user","tests.users","Sat Mar 14 17:28:53 UTC 2026","passed","Sat Mar 14 17:28:53 UTC 2026","TestCreateUser","test_create_user","",""
"","18","Delete exercise","LMS service","Sat Mar 14 17:28:49 UTC 2026","passed","Sat Mar 14 17:28:49 UTC 2026","Delete entity","Exercises","",""
"","11","Get your user's info","LMS service","Sat Mar 14 17:28:54 UTC 2026","passed","Sat Mar 14 17:28:54 UTC 2026","Get entity","Users","",""
"","514","Create user","tests.users","Sat Mar 14 17:28:53 UTC 2026","passed","Sat Mar 14 17:28:54 UTC 2026","TestCreateUser","test_create_user","",""
"","35","Update course","LMS service","Sat Mar 14 17:28:46 UTC 2026","passed","Sat Mar 14 17:28:46 UTC 2026","Update entity","Courses","",""
"","23","Delete file","LMS service","Sat Mar 14 17:28:53 UTC 2026","passed","Sat Mar 14 17:28:53 UTC 2026","Delete entity","Files","",""
"","506","Create user","tests.users","Sat Mar 14 17:28:52 UTC 2026","passed","Sat Mar 14 17:28:53 UTC 2026","TestCreateUser","test_create_user","",""
