"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","528","Create user","tests.users","Sat Mar 14 17:39:56 UTC 2026","passed","Sat Mar 14 17:39:56 UTC 2026","TestCreateUser","test_create_user","",""
"","26","Create file","LMS service","Sat Mar 14 17:39:53 UTC 2026","passed","Sat Mar 14 17:39:53 UTC 2026","Create entity","Files","",""
"","261","Create file with empty name","LMS service","Sat Mar 14 17:39:54 UTC 2026","passed","Sat Mar 14 17:39:54 UTC 2026","Validate entity","Files","",""
"","543","Create user","tests.users","Sat Mar 14 17:39:56 UTC 2026","passed","Sat Mar 14 17:39:57 UTC 2026","TestCreateUser","test_create_user","",""
"","46","Update course","LMS service","Sat Mar 14 17:39:49 UTC 2026","passed","Sat Mar 14 17:39:49 UTC 2026","Update entity","Courses","",""
"","23","Delete exercise","LMS service","Sat Mar 14 17:39:52 UTC 2026","passed","Sat Mar 14 17:39:52 UTC 2026","Delete entity","Exercises","",""
"","62","Get exercise","LMS service","Sat Mar 14 17:39:52 UTC 2026","passed","Sat Mar 14 17:39:52 UTC 2026","Get entity","Exercises","",""
"","34","Create exercise","LMS service","Sat Mar 14 17:39:50 UTC 2026","passed","Sat Mar 14 17:39:50 UTC 2026","Create entity","Exercises","",""
"","24","Delete file","LMS service","Sat Mar 14 17:39:56 UTC 2026","passed","Sat Mar 14 17:39:56 UTC 2026","Delete entity","Files","",""
"","20","Get file with wrong id","LMS service","Sat Mar 14 17:39:55 UTC 2026","passed","Sat Mar 14 17:39:55 UTC 2026","Validate entity","Files","",""
"","17","Get file","LMS service","Sat Mar 14 17:39:54 UTC 2026","passed","Sat Mar 14 17:39:54 UTC 2026","Get entity","Files","",""
"","262","Create file with empty directory","LMS service","Sat Mar 14 17:39:55 UTC 2026","passed","Sat Mar 14 17:39:55 UTC 2026","Validate entity","Files","",""
"","547","Login with email and password","LMS service","Sat Mar 14 17:39:47 UTC 2026","passed","Sat Mar 14 17:39:48 UTC 2026","Login","Users","",""
"","35","Get all courses","LMS service","Sat Mar 14 17:39:48 UTC 2026","passed","Sat Mar 14 17:39:48 UTC 2026","Get entities","Courses","",""
"","17","Get all exercises","LMS service","Sat Mar 14 17:39:53 UTC 2026","passed","Sat Mar 14 17:39:53 UTC 2026","Get entities","Exercises","",""
"","21","Update exercise","LMS service","Sat Mar 14 17:39:50 UTC 2026","passed","Sat Mar 14 17:39:50 UTC 2026","Update entity","Exercises","",""
"","13","Get your user's info","LMS service","Sat Mar 14 17:39:57 UTC 2026","passed","Sat Mar 14 17:39:57 UTC 2026","Get entity","Users","",""
"","38","Create course","LMS service","Sat Mar 14 17:39:49 UTC 2026","passed","Sat Mar 14 17:39:49 UTC 2026","Create entity","Courses","",""
"","533","Create user","tests.users","Sat Mar 14 17:39:55 UTC 2026","passed","Sat Mar 14 17:39:56 UTC 2026","TestCreateUser","test_create_user","",""
