"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","Update course","LMS service","Wed Mar 11 15:04:02 UTC 2026","passed","Wed Mar 11 15:04:02 UTC 2026","Update entity","Courses","",""
"","519","Login with email and password","LMS service","Wed Mar 11 15:04:00 UTC 2026","passed","Wed Mar 11 15:04:00 UTC 2026","Login","Users","",""
"","26","Delete file","LMS service","Wed Mar 11 15:04:08 UTC 2026","passed","Wed Mar 11 15:04:08 UTC 2026","Delete entity","Files","",""
"","12","Get your user's info","LMS service","Wed Mar 11 15:04:09 UTC 2026","passed","Wed Mar 11 15:04:09 UTC 2026","Get entity","Users","",""
"","26","Create exercise","LMS service","Wed Mar 11 15:04:03 UTC 2026","passed","Wed Mar 11 15:04:03 UTC 2026","Create entity","Exercises","",""
"","16","Get file","LMS service","Wed Mar 11 15:04:06 UTC 2026","passed","Wed Mar 11 15:04:06 UTC 2026","Get entity","Files","",""
"","23","Create file","LMS service","Wed Mar 11 15:04:05 UTC 2026","passed","Wed Mar 11 15:04:05 UTC 2026","Create entity","Files","",""
"","53","Get exercise","LMS service","Wed Mar 11 15:04:04 UTC 2026","passed","Wed Mar 11 15:04:04 UTC 2026","Get entity","Exercises","",""
"","502","Create user","tests.users","Wed Mar 11 15:04:08 UTC 2026","passed","Wed Mar 11 15:04:09 UTC 2026","TestCreateUser","test_create_user","",""
"","18","Get file with wrong id","LMS service","Wed Mar 11 15:04:07 UTC 2026","passed","Wed Mar 11 15:04:07 UTC 2026","Validate entity","Files","",""
"","19","Delete exercise","LMS service","Wed Mar 11 15:04:04 UTC 2026","passed","Wed Mar 11 15:04:04 UTC 2026","Delete entity","Exercises","",""
"","27","Create course","LMS service","Wed Mar 11 15:04:02 UTC 2026","passed","Wed Mar 11 15:04:02 UTC 2026","Create entity","Courses","",""
"","28","Get all courses","LMS service","Wed Mar 11 15:04:00 UTC 2026","passed","Wed Mar 11 15:04:01 UTC 2026","Get entities","Courses","",""
"","515","Create user","tests.users","Wed Mar 11 15:04:07 UTC 2026","passed","Wed Mar 11 15:04:08 UTC 2026","TestCreateUser","test_create_user","",""
"","498","Create user","tests.users","Wed Mar 11 15:04:08 UTC 2026","passed","Wed Mar 11 15:04:08 UTC 2026","TestCreateUser","test_create_user","",""
"","18","Get all exercises","LMS service","Wed Mar 11 15:04:05 UTC 2026","passed","Wed Mar 11 15:04:05 UTC 2026","Get entities","Exercises","",""
"","252","Create file with empty directory","LMS service","Wed Mar 11 15:04:07 UTC 2026","passed","Wed Mar 11 15:04:07 UTC 2026","Validate entity","Files","",""
"","22","Update exercise","LMS service","Wed Mar 11 15:04:03 UTC 2026","passed","Wed Mar 11 15:04:03 UTC 2026","Update entity","Exercises","",""
"","254","Create file with empty name","LMS service","Wed Mar 11 15:04:06 UTC 2026","passed","Wed Mar 11 15:04:06 UTC 2026","Validate entity","Files","",""
