"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","Get all exercises","LMS service","Mon Mar 09 09:49:42 UTC 2026","passed","Mon Mar 09 09:49:42 UTC 2026","Get entities","Exercises","",""
"","26","Delete file","LMS service","Mon Mar 09 09:49:46 UTC 2026","passed","Mon Mar 09 09:49:46 UTC 2026","Delete entity","Files","",""
"","266","Create file with empty name","LMS service","Mon Mar 09 09:49:43 UTC 2026","passed","Mon Mar 09 09:49:44 UTC 2026","Validate entity","Files","",""
"","39","Update course","LMS service","Mon Mar 09 09:49:39 UTC 2026","passed","Mon Mar 09 09:49:39 UTC 2026","Update entity","Courses","",""
"","24","Create file","LMS service","Mon Mar 09 09:49:42 UTC 2026","passed","Mon Mar 09 09:49:42 UTC 2026","Create entity","Files","",""
"","265","Create file with empty directory","LMS service","Mon Mar 09 09:49:44 UTC 2026","passed","Mon Mar 09 09:49:45 UTC 2026","Validate entity","Files","",""
"","17","Get file","LMS service","Mon Mar 09 09:49:44 UTC 2026","passed","Mon Mar 09 09:49:44 UTC 2026","Get entity","Files","",""
"","34","Get all courses","LMS service","Mon Mar 09 09:49:38 UTC 2026","passed","Mon Mar 09 09:49:38 UTC 2026","Get entities","Courses","",""
"","17","Get your user's info","LMS service","Mon Mar 09 09:49:47 UTC 2026","broken","Mon Mar 09 09:49:47 UTC 2026","Get entity","Users","",""
"","23","Update exercise","LMS service","Mon Mar 09 09:49:40 UTC 2026","passed","Mon Mar 09 09:49:40 UTC 2026","Update entity","Exercises","",""
"","69","Get exercise","LMS service","Mon Mar 09 09:49:41 UTC 2026","passed","Mon Mar 09 09:49:41 UTC 2026","Get entity","Exercises","",""
"","547","Login with email and password","LMS service","Mon Mar 09 09:49:37 UTC 2026","passed","Mon Mar 09 09:49:38 UTC 2026","Login","Users","",""
"","31","Create course","LMS service","Mon Mar 09 09:49:39 UTC 2026","passed","Mon Mar 09 09:49:39 UTC 2026","Create entity","Courses","",""
"","541","Create user","tests.users","Mon Mar 09 09:49:46 UTC 2026","broken","Mon Mar 09 09:49:46 UTC 2026","TestCreateUser","test_create_user","",""
"","544","Create user","tests.users","Mon Mar 09 09:49:45 UTC 2026","passed","Mon Mar 09 09:49:45 UTC 2026","TestCreateUser","test_create_user","",""
"","29","Create exercise","LMS service","Mon Mar 09 09:49:40 UTC 2026","passed","Mon Mar 09 09:49:40 UTC 2026","Create entity","Exercises","",""
"","524","Create user","tests.users","Mon Mar 09 09:49:45 UTC 2026","passed","Mon Mar 09 09:49:46 UTC 2026","TestCreateUser","test_create_user","",""
"","18","Get file with wrong id","LMS service","Mon Mar 09 09:49:45 UTC 2026","passed","Mon Mar 09 09:49:45 UTC 2026","Validate entity","Files","",""
"","25","Delete exercise","LMS service","Mon Mar 09 09:49:41 UTC 2026","passed","Mon Mar 09 09:49:41 UTC 2026","Delete entity","Exercises","",""
